Wall time,Step,Value
1751711219.4710674,5120,-5.164394378662109
1751711398.6258764,38400,-3.035215139389038
1751711481.9294314,53760,-1.4729222059249878
1751711712.0688226,94720,1.1306687593460083
1751711736.9815516,99840,1.586677074432373
1751711777.9390101,107520,2.4161887168884277
1751711891.9125614,128000,2.6039416790008545
1751711928.3590217,135680,1.8368576765060425
1751712135.7150779,174080,2.3963301181793213
1751712180.6754944,181760,1.559431552886963
1751712451.536443,232960,4.392368316650391
1751712552.7171664,253440,4.910092353820801
1751712591.5469394,261120,4.774707794189453
1751712603.552364,263680,5.026270389556885
1751712699.9683695,281600,4.573761463165283
1751712872.4588146,314880,4.241800308227539
1751713045.3759627,348160,4.084455966949463
1751713202.0020247,376320,4.713451385498047
1751713261.0238147,389120,5.589698791503906
1751713295.5859761,396800,5.554418087005615
1751713409.2962089,419840,7.147008895874023
1751713422.700792,422400,7.539386749267578
1751713564.6363213,448000,9.000906944274902
1751713629.306493,460800,8.021251678466797
1751713655.5728216,465920,7.9225945472717285
1751713667.582369,468480,7.540682792663574
1751713717.8032885,478720,6.801943778991699
1751713834.5896144,499200,7.2888383865356445
1751713943.15378,519680,6.893103122711182
1751713954.7458982,522240,6.609090805053711
1751714017.7966957,535040,6.759283065795898
1751714177.223514,563200,7.659748554229736
1751714263.046405,578560,8.201672554016113
1751714326.084376,591360,8.048456192016602
1751714363.169196,599040,8.110593795776367
1751714533.0446057,629760,8.261045455932617
1751714610.947946,645120,8.113677024841309
1751714685.5610347,657920,6.67490291595459
1751714785.7291675,675840,5.404251575469971
1751714839.2127979,686080,4.796994209289551
1751714863.4261947,691200,4.914449691772461
1751715119.8353863,739840,6.356900691986084
1751715187.7284918,752640,6.698980808258057
1751715200.462984,755200,6.996468544006348
1751715273.0128493,768000,7.545393466949463
1751715352.180869,780800,7.148094177246094
1751715383.723399,785920,6.555312633514404
1751715499.5007691,806400,6.712106704711914
1751715513.0994422,808960,7.051029682159424
1751715656.0901146,837120,8.216165542602539
1751715779.2725163,860160,7.998816967010498
1751715885.0298908,880640,8.174147605895996
1751716102.0906007,921600,8.209997177124023
1751716157.0628378,931840,7.866254806518555
1751716282.9940326,957440,7.577491283416748
1751716882.0068796,1070080,9.555684089660645
1751716894.8276114,1072640,9.484379768371582
1751717013.2547126,1093120,8.774744987487793
1751717147.5902379,1116160,9.73150634765625
1751717176.2054698,1121280,9.46567440032959
1751717190.625883,1123840,9.738825798034668
1751717234.8727074,1131520,8.598190307617188
1751717321.444323,1146880,8.759360313415527
1751717445.1285203,1169920,7.296205043792725
1751717489.292158,1177600,7.369622707366943
1751717504.5819714,1180160,7.099319934844971
1751717642.9245822,1205760,7.985156536102295
1751717865.2541533,1249280,8.306410789489746
1751717889.8812082,1254400,6.562674045562744
1751718071.3313544,1290240,6.889690399169922
1751718137.7269542,1303040,8.040923118591309
1751718162.0717514,1308160,8.345884323120117
1751718201.2534964,1315840,9.185235023498535
1751718302.6238053,1336320,8.582718849182129
1751718376.2905648,1351680,7.6835551261901855
1751718401.213114,1356800,7.715956211090088
1751718436.1052942,1364480,7.6489458084106445
1751718510.7797072,1379840,8.13413143157959
1751718572.7089186,1392640,8.746766090393066
1751718709.2719326,1418240,7.719256401062012
