Wall time,Step,Value
1751711285.2549665,15360,1.368097186088562
1751711476.2965631,48640,3.501974105834961
1751711548.6808972,64000,3.0243794918060303
1751711766.9150398,104960,2.9949803352355957
1751711795.9946296,110080,3.025799036026001
1751711839.4671664,117760,3.459768295288086
1751711954.0414767,138240,5.703901290893555
1751712000.7786639,145920,6.074008941650391
1751712208.3294516,184320,6.34842586517334
1751712255.635792,192000,5.920246124267578
1751712550.969651,243200,5.204653739929199
1751712667.8579752,263680,4.1336588859558105
1751712712.5797212,271360,4.496971607208252
1751712726.5524907,273920,4.779675006866455
1751712820.115018,291840,5.468443393707275
1751712999.9267473,325120,6.0058512687683105
1751713168.0477405,358400,5.200108528137207
1751713309.497047,386560,6.022397994995117
1751713378.9160604,399360,6.614813804626465
1751713421.4944465,407040,6.511498928070068
1751713547.2890866,430080,6.451282024383545
1751713559.5643394,432640,6.562806606292725
1751713702.3169749,458240,7.206531047821045
1751713768.2438996,471040,6.970858097076416
1751713798.5433576,476160,7.0365142822265625
1751713814.0485995,478720,7.160185813903809
1751713876.5301445,488960,7.258413314819336
1751713999.0575294,509440,7.469327926635742
1751714117.703727,529920,7.982022285461426
1751714131.4201517,532480,7.994410991668701
1751714192.2796524,545280,8.527320861816406
1751714339.9592137,573440,7.441396236419678
1751714428.4667468,588800,6.892476558685303
1751714491.6164434,601600,5.787565231323242
1751714532.547024,609280,5.749192237854004
1751714688.8617718,640000,6.969574451446533
1751714778.6907449,655360,6.350594997406006
1751714845.5310206,668160,8.301069259643555
1751714937.8960345,686080,8.671350479125977
1751714996.2275496,696320,8.107796669006348
1751715024.7995293,701440,8.45361042022705
1751715283.979204,750080,7.484370231628418
1751715356.5252004,762880,8.198201179504395
1751715371.8781471,765440,7.831429958343506
1751715437.2849596,778240,6.794193744659424
1751715496.8270156,791040,8.409049034118652
1751715521.4351287,796160,8.45177936553955
1751715625.1286197,816640,7.868527412414551
1751715639.805391,819200,8.13219928741455
1751715788.7685127,847360,7.004814147949219
1751715912.9882975,870400,7.189822196960449
1751716013.4329047,890880,7.860435485839844
1751716220.3116493,931840,6.866889953613281
1751716278.9750009,942080,6.163597106933594
1751716409.7148378,967680,6.9033122062683105
1751716984.208937,1080320,6.859903812408447
1751716996.6446962,1082880,6.94040584564209
1751717095.980102,1103360,7.302515983581543
1751717212.9407766,1126400,6.981781482696533
1751717237.9289331,1131520,6.4520063400268555
1751717253.1832755,1134080,6.043185710906982
1751717294.5719244,1141760,6.002830982208252
1751717371.7016935,1157120,5.217061519622803
1751717497.7584713,1180160,6.498135566711426
1751717543.5221007,1187840,7.34166955947876
1751717558.4483917,1190400,7.595118522644043
1751717694.5248134,1216000,7.542874813079834
1751717917.8080711,1259520,6.682146072387695
1751717946.5864077,1264640,6.04136848449707
1751718143.6004767,1300480,6.617859363555908
1751718210.9004571,1313280,7.843957424163818
1751718238.3814728,1318400,8.237152099609375
1751718275.5495288,1326080,7.381035804748535
1751718399.809191,1346560,7.999822616577148
1751718492.3622677,1361920,7.792318344116211
1751718522.3023458,1367040,7.987151622772217
1751718564.7058082,1374720,8.370000839233398
1751718654.3580854,1390080,8.37894058227539
1751718732.4410484,1402880,6.762419700622559
1751718885.074758,1428480,6.851884841918945
1751718965.325234,1443840,7.509523868560791
1751719052.1910985,1459200,7.814687728881836
1751719105.4072578,1469440,8.672494888305664
1751719185.2759545,1484800,8.263151168823242
1751719211.6317992,1489920,8.09536075592041
1751719252.9083555,1497600,7.8828816413879395
1751719281.518186,1502720,7.903576374053955
1751719295.2238293,1505280,8.101128578186035
1751719363.5663967,1518080,7.346801280975342
1751719379.403085,1520640,7.307764530181885
1751719524.3025336,1543680,7.661843776702881
1751719637.2515879,1564160,7.455546855926514
1751719702.2420754,1576960,7.313586711883545
1751719768.1748016,1589760,7.062046527862549
1751719792.0341518,1594880,7.504405498504639
1751719961.477394,1625600,7.472853183746338
1751720059.777375,1643520,7.073341369628906
1751720073.6229422,1646080,7.395275115966797
1751720100.4714088,1651200,7.617395401000977
1751720140.862241,1658880,8.040131568908691
1751720164.583992,1664000,7.81162166595459
1751720335.5952005,1694720,9.345659255981445
1751720383.326339,1702400,8.600370407104492
1751720437.391417,1712640,8.636968612670898
1751720478.6955903,1720320,9.138928413391113
1751720524.9207604,1728000,8.332660675048828
1751720587.2976158,1738240,9.069745063781738
1751720603.4589117,1740800,8.732757568359375
1751720666.3522217,1751040,7.147299766540527
1751720740.9956264,1763840,8.05491828918457
1751720899.0272825,1792000,9.903091430664062
1751720999.9453516,1809920,7.954084873199463
1751721114.3590505,1830400,6.453865051269531
1751721161.4294937,1840640,7.0469841957092285
1751721197.6177106,1848320,8.173423767089844
1751721210.1389081,1850880,7.638564109802246
1751721221.9255154,1853440,7.584439754486084
1751721327.3283467,1871360,8.820326805114746
1751721419.0398932,1886720,7.352631568908691
1751721462.0555477,1894400,7.759163856506348
1751721512.7858524,1904640,7.719470500946045
1751721572.3047564,1914880,7.64839506149292
