Wall time,Step,Value
1751680597.6381156,15360,-4.386655807495117
1751680609.906764,17920,-4.011232376098633
1751680665.8415294,28160,-1.1075148582458496
1751680679.9187665,30720,-0.882929265499115
1751680706.6783524,35840,-0.43709617853164673
1751680720.2021053,38400,0.28481554985046387
1751680734.2575903,40960,0.5044872760772705
1751680761.3381524,46080,1.3584094047546387
1751680775.055065,48640,1.487985610961914
1751680788.7341855,51200,1.6545065641403198
1751680804.8922074,53760,1.315774917602539
1751680868.0889146,64000,1.6289312839508057
1751680995.97764,87040,0.5616613030433655
1751681009.2304807,89600,0.44765108823776245
1751681036.7859633,94720,1.2828118801116943
1751681079.9397023,102400,1.9992480278015137
1751681094.8019981,104960,2.2028310298919678
1751681121.2370334,110080,2.5673203468322754
1751681149.551444,115200,2.9662959575653076
1751681162.228822,117760,3.2546546459198
1751681193.315449,122880,3.698158025741577
1751681223.8008876,128000,4.021503925323486
1751681237.0598485,130560,4.070446968078613
1751681281.1154966,138240,3.935828924179077
1751681295.1143003,140800,3.5715043544769287
1751681309.9764795,143360,3.686656951904297
1751681323.509807,145920,3.655763864517212
1751681336.274001,148480,3.98221755027771
1751681375.5579803,156160,3.780580520629883
1751681391.2419333,158720,3.848017930984497
1751681418.5278842,163840,3.618234872817993
1751681451.0356185,168960,3.9126529693603516
1751681466.98635,171520,3.2528584003448486
1751681483.222187,174080,2.828289747238159
1751681500.5991213,176640,2.5332117080688477
1751681541.1747801,184320,2.6743521690368652
1751681553.925705,186880,2.766817092895508
1751681566.5934224,189440,2.792980909347534
1751681578.9216013,192000,2.5865328311920166
1751681607.3901649,197120,3.1563758850097656
1751681651.2849975,204800,2.1895101070404053
1751681718.1086657,217600,3.201324224472046
1751681730.669558,220160,3.2107951641082764
1751681743.3926544,222720,2.9425392150878906
1751681756.7336898,225280,2.02284836769104
1751681769.3317933,227840,2.473233461380005
1751681782.1749682,230400,2.1959176063537598
1751681852.5870485,243200,2.883044481277466
1751681963.7634847,263680,2.7424168586730957
1751682003.4588246,271360,3.3321375846862793
1751682018.9858236,273920,3.05132794380188
1751682117.3398101,291840,3.508840322494507
1751682156.6940284,299520,3.825887441635132
1751682183.6626673,304640,3.876422882080078
1751682197.5253663,307200,4.1419572830200195
1751682209.671207,309760,3.916132926940918
1751682260.6367867,320000,3.6298909187316895
1751682273.3495617,322560,3.5626251697540283
1751682286.5111852,325120,3.243429183959961
1751682325.1602473,332800,3.49924635887146
1751682337.46596,335360,2.904226303100586
1751682384.265785,343040,1.8454443216323853
1751682437.8352625,353280,2.493212938308716
1751682470.1430311,358400,2.697266101837158
1751682496.8533132,363520,3.1201906204223633
1751682512.7562842,366080,2.8817942142486572
1751682528.6214178,368640,3.208789587020874
1751682542.764867,371200,4.0417866706848145
1751682573.761869,376320,3.1283018589019775
1751682600.9187167,381440,3.90855073928833
1751682631.1551907,386560,3.8276891708374023
1751682676.7154696,394240,3.5072131156921387
1751682692.7624025,396800,3.3451921939849854
1751682708.0203664,399360,2.9547557830810547
1751682741.209029,404480,2.010375499725342
1751682754.3399253,407040,1.5171644687652588
1751682769.9703991,409600,1.6148288249969482
1751682812.7177548,417280,1.5625871419906616
1751682844.2790518,422400,2.0636634826660156
1751682860.7635467,424960,1.806121587753296
1751682889.7599778,430080,1.0359212160110474
1751682901.9215393,432640,0.8495172262191772
1751682938.6055093,440320,1.5424442291259766
1751683017.4423087,453120,2.8901805877685547
1751683031.7613897,455680,3.2419631481170654
1751683044.7233548,458240,3.313750982284546
1751683072.0974844,463360,3.9316186904907227
1751683084.883721,465920,4.474339008331299
1751683110.2617714,471040,5.697319507598877
1751683138.7905645,476160,4.596451282501221
1751683154.4963756,478720,4.417533874511719
1751683167.642698,481280,4.664984226226807
1751683183.208328,483840,4.980623245239258
1751683213.8509214,488960,5.728970527648926
1751683227.6229472,491520,6.027415752410889
1751683329.8670626,509440,6.066042423248291
1751683381.1233473,519680,7.418416500091553
1751683434.02065,529920,6.651355743408203
1751683450.236377,532480,6.681141376495361
1751683466.069236,535040,6.1833720207214355
1751683529.3089244,545280,5.836954116821289
1751683544.633874,547840,5.4661383628845215
1751683577.4013453,552960,5.176230430603027
1751683619.7198915,560640,4.7966742515563965
1751683633.8374481,563200,4.810641765594482
1751683680.6299663,570880,4.139134883880615
1751683694.5721447,573440,4.421189785003662
1751683722.9362109,578560,4.9659857749938965
1751683736.8306298,581120,4.870727062225342
1751683752.1579306,583680,5.406771183013916
1751683777.940816,588800,5.763925552368164
1751683791.070418,591360,6.387231349945068
1751683803.182456,593920,6.564741134643555
1751683816.441836,596480,6.626493453979492
1751683832.1468694,599040,6.7073845863342285
1751683848.3178883,601600,5.593716621398926
1751683887.2310321,609280,6.250650405883789
1751683924.6299448,616960,6.419076919555664
1751683982.4931185,627200,5.717569351196289
1751683998.478459,629760,5.827399253845215
1751684027.6296332,634880,5.454706192016602
1751684054.8698978,640000,5.944679260253906
1751684067.0261333,642560,6.478170394897461
1751684134.7825243,655360,5.886755466461182
1751684174.9148326,663040,6.41439962387085
1751684190.220538,665600,6.150847434997559
1751684204.5380852,668160,6.627577304840088
1751684217.1583567,670720,7.1331658363342285
1751684242.9988158,675840,6.338879585266113
1751684300.468729,686080,5.6259660720825195
1751684326.1339505,691200,5.8899245262146
1751684351.71136,696320,6.225071430206299
1751684382.017196,701440,6.041149616241455
1751684462.7805874,714240,6.30170202255249
1751684494.4863646,719360,6.553714752197266
1751684557.3920097,729600,6.413051605224609
1751684633.1552436,742400,7.466777324676514
1751684661.598044,747520,8.066350936889648
1751684674.6522377,750080,7.2843732833862305
1751684712.3088403,757760,7.101120948791504
1751684741.0304224,762880,7.350947856903076
1751684755.9435961,765440,7.641340255737305
1751684769.7699938,768000,7.740440368652344
1751684799.23167,773120,8.143437385559082
1751684814.9852693,775680,7.414636135101318
1751684828.477286,778240,7.7280707359313965
1751684888.0951867,788480,8.955801963806152
1751684900.5385816,791040,9.22175407409668
1751684927.9662507,796160,9.008506774902344
1751684973.6636598,803840,8.174566268920898
1751685027.7196646,814080,7.7998576164245605
1751685041.6944866,816640,7.6296000480651855
1751685054.87533,819200,7.9221930503845215
1751685068.5328267,821760,7.868460655212402
1751685094.6752808,826880,7.892467975616455
1751685139.399404,834560,7.618820667266846
1751685155.383874,837120,7.634307384490967
1751685170.2792997,839680,7.533313751220703
1751685218.718812,847360,6.545432090759277
1751685232.5384061,849920,6.732524394989014
1751685264.4513223,855040,7.376189708709717
1751685344.4616935,870400,7.807516098022461
1751685373.6948876,875520,7.020471096038818
1751685414.717669,883200,6.495809078216553
1751685426.8990731,885760,6.495809078216553
1751685453.7604187,890880,6.29680871963501
1751685469.4363,893440,6.131515026092529
1751685551.2301712,906240,5.847918510437012
1751685567.5268044,908800,5.976253986358643
1751685599.3088458,913920,6.123584747314453
1751685624.4993262,919040,6.119729518890381
1751685636.6063652,921600,6.034761428833008
1751685648.755288,924160,5.9927825927734375
1751685693.6983001,931840,6.428116321563721
1751685708.303616,934400,6.094276428222656
1751685721.3656178,936960,5.969435691833496
1751685748.237534,942080,5.826709747314453
1751685762.6912947,944640,6.157782077789307
1751685789.444781,949760,6.820793151855469
1751685803.122547,952320,6.474287033081055
1751685830.6862886,957440,6.394325256347656
1751685854.980529,962560,7.045168399810791
1751685886.529376,967680,7.589740753173828
1751685902.694205,970240,7.379184722900391
1751685917.012942,972800,7.256068706512451
1751685945.3876164,977920,6.358373641967773
1751685958.0080004,980480,6.317605018615723
1751685996.128924,988160,6.366707801818848
1751686009.7484088,990720,6.031100749969482
1751686023.4096808,993280,6.0863518714904785
1751686038.458769,995840,5.888380527496338
1751686066.8560479,1000960,5.696251392364502
1751686081.0001433,1003520,5.69383430480957
1751686094.0335157,1006080,5.833037376403809
1751686107.095659,1008640,5.772853851318359
1751686224.6930227,1031680,6.332072734832764
1751686236.8613284,1034240,6.64098596572876
1751686261.394344,1039360,7.265929698944092
1751686300.13983,1047040,7.774049758911133
1751686405.8679726,1064960,6.922233581542969
1751686419.631954,1067520,7.331028938293457
1751686471.7679486,1077760,7.936550617218018
1751686484.0936453,1080320,8.2850923538208
1751686497.355065,1082880,8.429598808288574
1751686522.117527,1088000,8.8041410446167
1751686547.458121,1093120,9.162712097167969
1751686606.3540769,1103360,9.43817138671875
1751686717.8747208,1126400,8.911145210266113
1751686730.180625,1128960,8.848809242248535
1751686742.6828516,1131520,8.848809242248535
1751686754.8653905,1134080,8.518296241760254
1751686784.718679,1139200,8.690333366394043
1751686797.4589229,1141760,8.658473014831543
1751686836.4202297,1149440,8.784246444702148
1751686879.539045,1157120,8.43742847442627
1751686971.6128438,1175040,6.849524021148682
1751686985.2071376,1177600,6.802218914031982
1751686999.8449323,1180160,6.71022891998291
1751687013.222702,1182720,6.821372032165527
1751687040.2769392,1187840,6.913141250610352
1751687053.0298138,1190400,6.942569255828857
1751687065.5837011,1192960,6.942569255828857
1751687091.9849904,1198080,6.439581394195557
1751687104.840646,1200640,5.533530235290527
1751687116.9195068,1203200,5.531128406524658
1751687140.8157873,1208320,5.661595821380615
1751687170.7062328,1213440,5.84354829788208
1751687182.920016,1216000,5.979885578155518
1751687231.9397147,1226240,5.746384620666504
1751687317.6608913,1244160,7.156953811645508
1751687356.306566,1251840,6.69776725769043
1751687368.5231762,1254400,6.920452117919922
1751687394.9749289,1259520,7.888643741607666
1751687421.0988238,1264640,8.524384498596191
1751687460.5514565,1272320,8.139013290405273
1751687606.0304182,1300480,7.8519792556762695
1751687642.8394477,1308160,8.07896614074707
1751687655.60729,1310720,8.445727348327637
1751687670.1461523,1313280,8.370304107666016
1751687699.2273846,1318400,8.23845386505127
1751687723.778522,1323520,9.402223587036133
1751687737.7852569,1326080,9.498854637145996
1751687769.526105,1331200,9.265833854675293
1751687847.4547043,1344000,8.846538543701172
1751687860.210569,1346560,8.994245529174805
1751687941.4569166,1361920,7.833531379699707
1751687967.7345057,1367040,7.214587688446045
1751687983.387594,1369600,6.944136619567871
1751687995.8922775,1372160,6.91137170791626
1751688008.6756566,1374720,6.943541526794434
1751688026.329893,1377280,5.986185550689697
1751688039.7312722,1379840,6.477989196777344
1751688054.1847427,1382400,6.635814189910889
1751688066.4463298,1384960,6.411959171295166
1751688079.1913772,1387520,6.375977039337158
1751688091.311236,1390080,6.375287055969238
1751688117.2031531,1395200,6.4571332931518555
1751688156.5270438,1402880,6.834508895874023
1751688168.7758846,1405440,6.6715989112854
1751688184.4027898,1408000,6.382116317749023
1751688209.1615925,1413120,6.2136335372924805
1751688269.9255826,1423360,6.1885271072387695
1751688300.5397737,1428480,6.159889221191406
1751688325.449485,1433600,5.793691158294678
1751688379.8757422,1443840,5.5724687576293945
1751688392.0408924,1446400,5.321882247924805
1751688404.2077985,1448960,5.489243507385254
1751688429.6395543,1454080,5.662269115447998
1751688456.0456655,1459200,5.365174293518066
