Wall time,Step,Value
1751680599.1531138,15360,-1.312598466873169
1751680614.6074178,17920,-0.38154008984565735
1751680676.8409166,28160,0.15047770738601685
1751680690.7472844,30720,0.19961397349834442
1751680720.7604108,35840,0.6446086168289185
1751680735.0939815,38400,1.3341879844665527
1751680749.7263684,40960,1.0276402235031128
1751680787.3440702,48640,1.6291320323944092
1751680800.645208,51200,1.638895034790039
1751680812.0510452,53760,1.6630688905715942
1751680859.9240313,64000,1.9307664632797241
1751680979.8165944,87040,1.0482707023620605
1751680993.5671337,89600,1.2325074672698975
1751681021.2492933,94720,0.994629442691803
1751681072.6067553,104960,1.9887504577636719
1751681095.8263183,110080,2.0116846561431885
1751681122.5576725,115200,2.4471960067749023
1751681136.1873305,117760,2.617239236831665
1751681159.6888266,122880,2.8527181148529053
1751681183.16266,128000,2.9135189056396484
1751681194.8080816,130560,2.8335611820220947
1751681232.3832657,138240,3.6789095401763916
1751681243.8371873,140800,3.8604562282562256
1751681256.076191,143360,4.18658447265625
1751681268.5939503,145920,4.161293983459473
1751681284.352914,148480,4.749646186828613
1751681328.5187235,156160,4.3687238693237305
1751681340.3465621,158720,4.546207427978516
1751681365.6249988,163840,5.2454118728637695
1751681395.3241196,168960,5.453733444213867
1751681408.685945,171520,5.669320583343506
1751681422.456031,174080,5.454790115356445
1751681438.546731,176640,4.910550117492676
1751681474.4807985,184320,5.464771747589111
1751681486.7452662,186880,5.624425411224365
1751681498.1433084,189440,6.018233776092529
1751681510.4032485,192000,6.286522388458252
1751681540.0862458,197120,5.936652660369873
1751681579.4493642,204800,5.084846019744873
1751681637.8159952,217600,6.561526298522949
1751681649.5467668,220160,6.528090953826904
1751681661.1938958,222720,6.288267612457275
1751681674.277388,225280,6.10939884185791
1751681686.379462,227840,6.191632270812988
1751681700.1057832,230400,6.3560333251953125
1751681774.124682,243200,6.520168304443359
1751681895.317523,263680,6.311569690704346
1751681941.5288203,271360,6.285726547241211
1751681953.871213,273920,6.085697174072266
1751682036.8128507,291840,6.6450629234313965
1751682075.5100563,299520,7.684210300445557
1751682103.3175452,304640,7.128411293029785
1751682115.0848813,307200,7.152108669281006
1751682126.852613,309760,7.236170768737793
1751682186.4200735,320000,7.464778900146484
1751682199.8819451,322560,7.962343692779541
1751682214.2764606,325120,6.965672016143799
1751682258.4551532,332800,6.516938209533691
1751682273.8768113,335360,6.454491138458252
1751682318.2049136,343040,6.000249862670898
1751682367.61103,353280,6.79666805267334
1751682393.2686272,358400,7.087025165557861
1751682421.606685,363520,6.835224151611328
1751682436.3096204,366080,7.084987163543701
1751682448.0454469,368640,7.361040115356445
1751682460.706652,371200,7.634900093078613
1751682514.6391895,381440,7.12000036239624
1751682538.9536312,386560,7.453380584716797
1751682581.2298017,394240,6.845188617706299
1751682596.8909757,396800,7.192892074584961
1751682612.5122705,399360,7.499828338623047
1751682644.2083218,404480,6.577353477478027
1751682657.839248,407040,6.340116500854492
1751682673.3976505,409600,6.397697448730469
1751682719.064089,417280,6.835607051849365
1751682748.8382373,422400,7.170318603515625
1751682763.7901435,424960,7.299520969390869
1751682794.397178,430080,7.390275955200195
1751682809.5451925,432640,7.2920637130737305
1751682855.9527144,440320,7.206704139709473
1751682933.9348364,453120,6.807920932769775
1751682947.0893006,455680,6.709264278411865
1751682958.3617265,458240,6.993241786956787
1751682980.8621347,463360,7.72219705581665
